Model,Checkpoint,Task,Metric,Run 1,Run 2,Run 3,Average,Size,Flops
Qwen2.5-0.5B,Qwen2.5-0.5B,bbh_adv,"exact_match,get-answer",0.0526800798648441,0.0512978037167869,0.0539087697742282,0.0526288844519531,0.5,3.9889840465642745
Qwen2.5-0.5B,Qwen2.5-0.5B,cruxeval_i_adv,"pass@1,create_test",0.0,0.0,0.0,0.0,0.5,3.9889840465642745
Qwen2.5-0.5B,Qwen2.5-0.5B,cruxeval_o_adv,"pass@1,create_test",0.0071022727272727,0.0085227272727272,0.0085227272727272,0.0080492424242424,0.5,3.9889840465642745
Qwen2.5-0.5B,Qwen2.5-0.5B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.070777088653776,0.0719931898333941,0.0749118326644776,0.0725607037172159,0.5,3.9889840465642745
Qwen2.5-0.5B,Qwen2.5-0.5B,gsm8k_adv,"exact_match,flexible-extract",0.0695700110253583,0.0676957001102535,0.0711135611907387,0.0694597574421168,0.5,3.9889840465642745
Qwen2.5-0.5B,Qwen2.5-0.5B,triviaqa_adv,"exact_match,none",0.0104694360013508,0.0091185410334346,0.0084430935494765,0.009343690194754,0.5,3.9889840465642745
Qwen2.5-14B,Qwen2.5-14B,bbh_adv,"exact_match,get-answer",0.443557057287667,0.4452465059130702,0.4427891260943019,0.443864229765013,14.0,7.321188556739478
Qwen2.5-14B,Qwen2.5-14B,cruxeval_i_adv,"pass@1,create_test",0.3256198347107438,0.3206611570247933,0.3239669421487603,0.3234159779614325,14.0,7.321188556739478
Qwen2.5-14B,Qwen2.5-14B,cruxeval_o_adv,"pass@1,create_test",0.3977272727272727,0.4090909090909091,0.4005681818181818,0.4024621212121212,14.0,7.321188556739478
Qwen2.5-14B,Qwen2.5-14B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.6203332117232153,0.6202116016052536,0.6208196521950626,0.6204548218411772,14.0,7.321188556739478
Qwen2.5-14B,Qwen2.5-14B,gsm8k_adv,"exact_match,flexible-extract",0.6125689084895259,0.6105843439911797,0.6094818081587652,0.6108783535464902,14.0,7.321188556739478
Qwen2.5-14B,Qwen2.5-14B,triviaqa_adv,"exact_match,none",0.1279972982100641,0.1209050996285038,0.1259709557581898,0.1249577845322526,14.0,7.321188556739478
Qwen2.5-32B,Qwen2.5-32B,bbh_adv,"exact_match,get-answer",0.463984027031178,0.464291199508524,0.4649055444632161,0.464393590334306,32.0,8.147867129923947
Qwen2.5-32B,Qwen2.5-32B,cruxeval_i_adv,"pass@1,create_test",0.5074380165289256,0.509090909090909,0.5140495867768595,0.5101928374655648,32.0,8.147867129923947
Qwen2.5-32B,Qwen2.5-32B,cruxeval_o_adv,"pass@1,create_test",0.6974431818181818,0.7002840909090909,0.7073863636363636,0.7017045454545454,32.0,8.147867129923947
Qwen2.5-32B,Qwen2.5-32B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.6282378693907333,0.630426851514046,0.6309132919858932,0.6298593376302243,32.0,8.147867129923947
Qwen2.5-32B,Qwen2.5-32B,gsm8k_adv,"exact_match,flexible-extract",0.6160970231532524,0.6163175303197354,0.6164277839029768,0.6162807791253215,32.0,8.147867129923947
Qwen2.5-32B,Qwen2.5-32B,triviaqa_adv,"exact_match,none",0.171563660925363,0.1675109760216143,0.1648091860857818,0.167961274344253,32.0,8.147867129923947
Qwen2.5-3B,Qwen2.5-3B,bbh_adv,"exact_match,get-answer",0.2076485946859161,0.2101059745046843,0.2101059745046843,0.2092868478984283,3.0,5.780743515792329
Qwen2.5-3B,Qwen2.5-3B,cruxeval_i_adv,"pass@1,create_test",0.0082644628099173,0.0132231404958677,0.0132231404958677,0.0115702479338842,3.0,5.780743515792329
Qwen2.5-3B,Qwen2.5-3B,cruxeval_o_adv,"pass@1,create_test",0.0596590909090909,0.0539772727272727,0.065340909090909,0.0596590909090909,3.0,5.780743515792329
Qwen2.5-3B,Qwen2.5-3B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.280432932019944,0.2812842028456767,0.2826219141432567,0.2814463496696258,3.0,5.780743515792329
Qwen2.5-3B,Qwen2.5-3B,gsm8k_adv,"exact_match,flexible-extract",0.2743109151047409,0.2759647188533627,0.2799338478500551,0.2767364939360529,3.0,5.780743515792329
Qwen2.5-3B,Qwen2.5-3B,triviaqa_adv,"exact_match,none",0.0574130361364403,0.0543735224586288,0.0567375886524822,0.0561747157491838,3.0,5.780743515792329
Qwen2.5-72B,Qwen2.5-72B,bbh_adv,"exact_match,get-answer",0.4249731224082322,0.4277376747043465,0.4240516049761941,0.4255874673629243,72.0,8.958797346140274
Qwen2.5-72B,Qwen2.5-72B,cruxeval_i_adv,"pass@1,create_test",0.2595041322314049,0.2528925619834711,0.2578512396694215,0.2567493112947658,72.0,8.958797346140274
Qwen2.5-72B,Qwen2.5-72B,cruxeval_o_adv,"pass@1,create_test",0.6789772727272727,0.6875,0.6917613636363636,0.6860795454545454,72.0,8.958797346140274
Qwen2.5-72B,Qwen2.5-72B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.639547610361182,0.6403988811869148,0.6414933722485711,0.6404799545988893,72.0,8.958797346140274
Qwen2.5-72B,Qwen2.5-72B,gsm8k_adv,"exact_match,flexible-extract",0.6230429988974642,0.6255788313120176,0.6278941565600882,0.62550532892319,72.0,8.958797346140274
Qwen2.5-72B,Qwen2.5-72B,triviaqa_adv,"exact_match,none",0.1648091860857818,0.1664978047956771,0.1617696724079702,0.164358887763143,72.0,8.958797346140274
Qwen2.5-7B,Qwen2.5-7B,bbh_adv,"exact_match,get-answer",0.330210413146982,0.3325142067270772,0.3286745507602518,0.330466390211437,7.0,6.628041376179533
Qwen2.5-7B,Qwen2.5-7B,cruxeval_i_adv,"pass@1,create_test",0.2429752066115702,0.2512396694214876,0.2479338842975206,0.2473829201101928,7.0,6.628041376179533
Qwen2.5-7B,Qwen2.5-7B,cruxeval_o_adv,"pass@1,create_test",0.3366477272727273,0.3394886363636363,0.34375,0.3399621212121212,7.0,6.628041376179533
Qwen2.5-7B,Qwen2.5-7B,gsm8k-platinum_adv,"exact_match,flexible-extract",0.4492277757509424,0.450200656694637,0.4494709959868661,0.4496331428108152,7.0,6.628041376179533
Qwen2.5-7B,Qwen2.5-7B,gsm8k_adv,"exact_match,flexible-extract",0.4392502756339581,0.4386990077177508,0.4396912899669239,0.4392135244395442,7.0,6.628041376179533
Qwen2.5-7B,Qwen2.5-7B,triviaqa_adv,"exact_match,none",0.1046943600135089,0.105369807497467,0.1060452549814252,0.105369807497467,7.0,6.628041376179533
